"xcoord","ycoord"
75.6473626858,11.8809096094
75.3978776319,11.6838496062
75.1781247322,11.4778699855
75.0572943655,11.6061461757
75.3010865939,11.8098739303
75.5125349624,12.0376473833
75.6133421007,12.2530697304
75.0692525821,12.0685890432
75.0506030774,11.8207084729
73.3615930548,10.0166214997
73.5072441573,10.3942000193
73.0439724491,10.1355765495
75.4448121234,12.2661907658
75.2370410372,12.1928413197
75.2673828146,12.0137068232
74.6886802324,11.7505468009
75.0292116952,11.3092731496
74.9428610744,11.1806610666
72.8700663229,10.0428972585
73.0823035585,10.3896492971
73.219634335,10.5624761452
72.5079279305,10.3409886103
72.4074099699,9.619136774
72.7611985744,9.7704621114
72.3019300973,9.8352104025
74.7726807588,11.2595353633
74.8767859245,11.4221617974
74.1658439374,11.386466447
74.5300200986,10.4323948354
74.4287793039,10.5402535745
74.3145238129,10.7363764475
74.209228027,10.4036433627
74.4502929001,11.2985128105
74.3323318353,11.1336310559
74.3027932553,11.6031515019
73.621158189,10.4672150474
73.6636788072,10.6966606428
73.5255492434,10.6417453151
73.3472565678,10.6469915573
73.8865611426,10.0589143319
73.4469172168,10.0767767357
73.0949547059,9.9287952524
72.9660148816,9.8556403796
73.2236919203,10.0091767201
73.3376677133,10.2584040326
70.2870171827,8.3746626527
74.6422312051,11.3542761958
71.5525755905,9.7735012978
69.8205905934,7.2318086278
69.9776648851,7.868471073
70.24646098,7.8258615525
70.1621079144,7.9826266519
74.5090606105,11.4630287887
71.6466060457,8.9499666741
72.3228096514,10.1035563108
72.0608676017,9.4627146887
72.2686229121,9.5556097168
72.1570962159,9.5590282124
73.7898349642,11.7617727798
71.4089128897,9.7005821589
74.1040129217,11.7485578965
73.9562763867,11.814410615
73.7544734829,12.0066089796
72.7778411206,10.581042319
71.8351734879,9.7055398239
71.6993348342,10.4040535104
69.9328351924,7.0655103951
69.5100390857,7.0384517008
72.5053948242,8.6701818777
72.0151521256,9.0126406699
71.9313841149,8.9097888328
71.8206177822,9.0481314184
71.8014526183,9.1660386107
71.8668299866,8.7484701973
72.7045096358,8.5226333543
72.5691454686,8.4911792563
72.3964391581,8.4822649076
72.2241272847,8.6026730511
71.6358170699,9.2749183406
71.4210090363,9.2020340861
71.1884446139,9.1830189996
71.5552126289,9.1013342838
71.5201189257,8.773867991
71.258916315,10.0469243587
70.9666831978,10.1284455436
70.7290673018,10.1429357556
70.9896480692,9.3507859274
71.231857152,9.3932761925
72.6094217432,8.6598309737
72.5615215507,8.8226037821
72.4638894244,8.7600854626
72.3309226581,8.7132176744
72.1963837614,8.7231445826
72.0236799759,8.4084582947
72.4242544739,8.610171222
72.5222124634,8.5722883233
70.5576081163,9.1797844471
71.5655403289,8.1649760479
71.5734906004,8.5582308897
69.4814190453,7.157872612
71.3682256557,9.0094534009
70.7089178187,8.5013902485
70.5681117497,8.5965810688
70.3397409269,10.5938526472
70.9478425564,9.6489412411
71.1823303303,9.5942343242
70.632278152,8.1271972239
70.9889409685,8.339846001
70.7385015355,8.2977444391
70.5096521173,8.3978827892
70.4741675747,8.7363540964
70.4869300063,8.9733085212
70.6712233259,9.1970145251
70.3984317251,9.2033195641
70.7022633042,9.4351517631
70.4204901643,9.4076315395
70.4282599593,9.6435731526
70.6469206448,9.602769283
70.4923035447,9.8397384561
70.5712556207,10.2275734215
70.7037289018,8.9727643653
70.8331078472,9.3003512325
71.2101036624,9.8855857832
70.6319908201,9.851772937
70.8834781432,9.8870563315
71.0440502264,8.8597049563
70.9478713843,9.1106561755
71.3603751077,8.3548603556
71.2216392604,8.2973807139
71.5329471993,8.8574393964
71.697542666,9.7392868617
71.5168987682,9.9849698139
71.7081401693,10.1498170047
71.9569907728,9.7702063683
71.8896855062,10.4934749748
72.1460519257,10.3821201276
71.769824058,9.8972455514
71.904353081,10.248479662
71.5381010539,10.394009699
71.269842263,8.8060227806
71.1778842423,8.9601990373
70.8822219859,8.6273657189
70.7886958426,8.8040510905
71.0616871047,8.4870728829
71.3506091754,8.6441478654
71.2884445254,8.0432120056
71.1393534676,8.0705579832
71.0083633081,8.0184950959
70.7153269617,7.868034378
70.5836610048,7.7500553996
70.2252740661,7.504046781
73.5098347235,11.8333580856
74.7840874883,11.0850407285
74.8287299008,10.8898047875
74.6857566371,10.772132038
71.9948522793,9.6111190773
72.1207302419,9.8251987109
72.1193454876,10.0384021008
72.0330716009,9.1822297579
71.9354439064,9.2980862899
71.7856457625,9.4238417888
71.5091212836,9.3664192101
74.5055118602,10.9951611468
71.3886129318,9.4686295118
71.6216709266,9.5900199802
71.4898876581,9.5204057371
72.216523497,9.6976133809
72.5225840987,9.6671286134
72.5889483893,9.6990778816
72.8997486967,10.3309383826
72.5150129423,9.8840682793
74.030117329,10.3473733343
73.9984065772,10.6164116529
73.8495821175,10.3772963416
73.7275814416,10.2907668249
73.5692570004,10.1839046532
