"","FARM","CROP","SFALP","TSPP","NPP","TWWP","URP","AVFS","AVCRS","CTPHA","FERTIN","PESTIN","AMPF","SWDIFR","SWDICR","xcoord","ycoord"
"AMCR",0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"AMGO",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"AMKE",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"AMRO",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"BAOR",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"BARS",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"BHCO",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"BLJA",0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"BOBO",0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"BRTH",0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"BLTE",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"CAGO",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"CCSP",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"CEDW",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"CHSP",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"CLSW",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"COGR",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"CONI",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"COYE",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"EABL",0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"EAKI",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"EAME",0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"EAPH",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"EATO",0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"EAWP",0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"EUST",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"FISP",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"GCFL",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"GRPA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRSP",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"HOFI",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"HOLA",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"HOSP",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"HOWR",0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"INBU",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"KILL",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MALL",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"MODO",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"NOFL",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"NOHA",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"NOMO",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"OROR",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"RBGU",0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
"RHWO",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"RNEP",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"ROPI",0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"RTHA",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"RWBL",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
"SAVS",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SOSP",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"TRES",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"TUVU",0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"UPSA",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"VESP",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"WITU",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
